,Glucose,YE,KH2PO4,K2HPO4,MgSO4,CaCl2,FeSO4,Fructose,NH4Cl,TM,Vitamin,Biomass
1,1,-1,1,-1,-1,-1,1,1,1,-1,1,1.16
2,1,1,-1,1,-1,-1,-1,1,1,1,-1,3.88
3,-1,1,1,-1,1,-1,-1,-1,1,1,1,2.7
4,1,-1,1,1,-1,1,-1,-1,-1,1,1,2.02
5,1,1,-1,1,1,-1,1,-1,-1,-1,1,3.82
6,1,1,1,-1,1,1,-1,1,-1,-1,-1,2.76
7,-1,1,1,1,-1,1,1,-1,1,-1,-1,3.8
8,-1,-1,1,1,1,-1,1,1,-1,1,-1,2.52
9,-1,-1,-1,1,1,1,-1,1,1,-1,1,2.12
10,1,-1,-1,-1,1,1,1,-1,1,1,-1,0.96
11,-1,1,-1,-1,-1,1,1,1,-1,1,1,2.76
12,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.86
13,1,-1,1,-1,-1,-1,1,1,1,-1,1,1.14
14,1,1,-1,1,-1,-1,-1,1,1,1,-1,3.86
15,-1,1,1,-1,1,-1,-1,-1,1,1,1,2.68
16,1,-1,1,1,-1,1,-1,-1,-1,1,1,1.94
17,1,1,-1,1,1,-1,1,-1,-1,-1,1,3.88
18,1,1,1,-1,1,1,-1,1,-1,-1,-1,2.76
19,-1,1,1,1,-1,1,1,-1,1,-1,-1,3.76
20,-1,-1,1,1,1,-1,1,1,-1,1,-1,2.46
21,-1,-1,-1,1,1,1,-1,1,1,-1,1,2.06
22,1,-1,-1,-1,1,1,1,-1,1,1,-1,0.92
23,-1,1,-1,-1,-1,1,1,1,-1,1,1,2.74
24,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.94